course,datetime,action,information,anoname,ip_address
CSBBB-2013J,2023 January 09 05:17,registration,,Male#2539858,X.Y.Z
CSCCC-2014B,2023 January 09 05:18,registration,,Male#418623,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#104054,X.Y.Z
CSBBB-2013B,2023 June 17 05:11,assessment,TMA,Female#154027,X.Y.Z
CSBBB-2013B,2023 April 08 05:11,assessment,TMA,Male#412407,X.Y.Z
CSAAA-2014J,2023 March 03 05:11,assessment,TMA,Female#281636,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#126411,X.Y.Z
CSBBB-2014J,2023 January 09 05:14,registration,,Female#84541,X.Y.Z
CSBBB-2013B,2023 July 14 05:11,assessment,TMA,Female#556997,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,subpage,,Male#704156,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,url,,Female#144801,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Female#2083877,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Female#2470694,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,homepage,,Male#255548,X.Y.Z
CSBBB-2013B,2023 February 24 05:11,assessment,TMA,Female#508662,X.Y.Z
CSAAA-2014J,2023 May 06 05:11,assessment,TMA,Male#254625,X.Y.Z
CSBBB-2013B,2023 January 25 05:11,assessment,TMA,Female#533347,X.Y.Z
CSBBB-2013J,2023 January 09 05:17,registration,,Female#595010,X.Y.Z
CSBBB-2013B,2023 March 11 05:11,assessment,TMA,Female#306886,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Male#1765788,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Female#1035023,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Female#2691206,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,resource,,Male#1765788,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Female#514987,X.Y.Z
CSAAA-2014J,2023 May 04 05:11,assessment,TMA,Male#174024,X.Y.Z
CSBBB-2013B,2023 January 25 05:11,assessment,TMA,Female#2569163,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,url,,Female#332789,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Female#148993,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,subpage,,Male#229179,X.Y.Z
CSBBB-2013B,2023 April 08 05:11,assessment,TMA,Female#232695,X.Y.Z
CSAAA-2013J,2023 March 04 05:11,assessment,TMA,Male#2104505,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#476783,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Male#2481901,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,subpage,,Male#38053,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,homepage,,Male#159954,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Male#180753,X.Y.Z
CSBBB-2013B,2023 January 29 05:11,assessment,TMA,Female#539737,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,forumng,,Male#508818,X.Y.Z
CSBBB-2014J,2023 January 09 05:17,registration,,Female#632144,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Female#2122180,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,subpage,,Male#564450,X.Y.Z
CSBBB-2013B,2023 May 11 05:11,assessment,TMA,Female#548838,X.Y.Z
CSBBB-2013B,2023 April 07 05:11,assessment,TMA,Female#521430,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Female#2566592,X.Y.Z
CSAAA-2013J,2023 January 29 05:11,assessment,TMA,Male#1488959,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,homepage,,Female#2639540,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,forumng,,Male#1401935,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Male#1456619,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,homepage,,Male#175392,X.Y.Z
CSAAA-2014J,2023 March 03 05:11,assessment,TMA,Male#2369415,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Male#705379,X.Y.Z
CSBBB-2014J,2023 January 09 05:14,registration,,Female#677039,X.Y.Z
CSBBB-2013B,2023 February 04 05:11,assessment,TMA,Female#326012,X.Y.Z
CSBBB-2013B,2023 February 24 05:11,assessment,TMA,Female#554352,X.Y.Z
CSAAA-2014J,2023 January 28 05:11,assessment,TMA,Male#696578,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,subpage,,Male#336207,X.Y.Z
CSBBB-2013B,2023 March 04 05:11,assessment,TMA,Female#294961,X.Y.Z
CSBBB-2013B,2023 May 13 05:11,assessment,TMA,Female#513210,X.Y.Z
CSAAA-2013J,2023 March 10 05:11,assessment,TMA,Male#291334,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#553462,X.Y.Z
CSAAA-2013J,2023 January 26 05:11,assessment,TMA,Female#2598871,X.Y.Z
CSBBB-2013B,2023 January 09 05:13,registration,,Female#486214,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#2083877,X.Y.Z
CSBBB-2014B,2023 January 09 05:14,registration,,Female#626872,X.Y.Z
CSBBB-2013B,2023 June 17 05:11,assessment,TMA,Female#475460,X.Y.Z
CSBBB-2014J,2023 January 09 05:17,registration,,Female#574512,X.Y.Z
CSAAA-2014J,2023 March 25 05:11,assessment,TMA,Male#87431,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Male#2671132,X.Y.Z
CSBBB-2013B,2023 January 09 05:17,registration,,Female#2466123,X.Y.Z
CSAAA-2013J,2023 June 28 05:11,assessment,TMA,Female#281022,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,homepage,,Male#240712,X.Y.Z
CSBBB-2013B,2023 June 13 05:11,assessment,TMA,Female#497793,X.Y.Z
CSAAA-2014J,2023 August 12 05:11,assessment,TMA,Female#101116,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Male#2689958,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Male#345357,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Female#542748,X.Y.Z
CSAAA-2013J,2023 March 03 05:11,assessment,TMA,Male#368963,X.Y.Z
CSAAA-2013J,2023 March 04 05:11,assessment,TMA,Male#1758449,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,oucontent,,Female#2643002,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,subpage,,Male#2411778,X.Y.Z
CSAAA-2013J,2023 January 30 05:11,assessment,TMA,Male#91265,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,homepage,,Male#2146792,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#319209,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,oucontent,,Male#104476,X.Y.Z
CSBBB-2013B,2023 January 09 05:17,registration,,Female#492946,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Female#398084,X.Y.Z
CSAAA-2014J,2023 January 27 05:11,assessment,TMA,Female#2404408,X.Y.Z
CSAAA-2014J,2023 January 28 05:11,assessment,TMA,Male#141377,X.Y.Z
CSBBB-2013J,2023 January 09 05:17,registration,,Female#484446,X.Y.Z
CSAAA-2013J,2023 January 27 05:11,assessment,TMA,Male#295741,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#441018,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Male#241649,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,forumng,,Female#1763015,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Male#321942,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,dataplus,,Male#246834,X.Y.Z
CSAAA-2013J,2023 January 25 05:11,assessment,TMA,Male#294570,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#2411778,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,resource,,Male#305386,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Male#110175,X.Y.Z
CSAAA-2014J,2023 May 06 05:11,assessment,TMA,Male#130636,X.Y.Z
CSAAA-2013J,2023 March 02 05:11,assessment,TMA,Female#2555340,X.Y.Z
CSAAA-2014J,2023 January 24 05:11,assessment,TMA,Female#404356,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,resource,,Male#1626710,X.Y.Z
CSBBB-2013J,2023 January 09 05:14,registration,,Female#603516,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,url,,Female#227499,X.Y.Z
CSBBB-2013B,2023 April 14 05:11,assessment,TMA,Female#534432,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,homepage,,Male#71361,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#2599352,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,resource,,Female#2594139,X.Y.Z
CSCCC-2014B,2023 January 09 05:18,registration,,Male#465406,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Male#104476,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#2517864,X.Y.Z
CSBBB-2013B,2023 June 17 05:11,assessment,TMA,Male#377846,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,forumng,,Male#311917,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,oucontent,,Male#242793,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Female#1763015,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Male#205350,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,forumng,,Male#1465690,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Female#1763015,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,homepage,,Female#135335,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Male#1640609,X.Y.Z
CSBBB-2013B,2023 May 13 05:11,assessment,TMA,Male#552667,X.Y.Z
CSBBB-2013B,2023 February 18 05:11,assessment,TMA,Female#545191,X.Y.Z
CSBBB-2014B,2023 January 09 05:14,registration,,Female#630944,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Female#555407,X.Y.Z
CSAAA-2013J,2023 April 11 05:11,assessment,TMA,Male#341872,X.Y.Z
CSAAA-2014J,2023 May 21 05:11,assessment,TMA,Male#387533,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Male#552667,X.Y.Z
CSAAA-2014J,2023 August 21 05:11,assessment,TMA,Male#294655,X.Y.Z
CSBBB-2013B,2023 April 07 05:11,assessment,TMA,Female#541808,X.Y.Z
CSBBB-2013B,2023 February 20 05:11,assessment,TMA,Female#547689,X.Y.Z
CSBBB-2013B,2023 January 09 05:13,registration,,Female#552039,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#2606098,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Female#555909,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#2600688,X.Y.Z
CSBBB-2013B,2023 June 17 05:11,assessment,TMA,Female#558040,X.Y.Z
CSBBB-2014J,2023 January 09 05:17,registration,,Female#686266,X.Y.Z
CSAAA-2013J,2023 July 01 05:11,assessment,TMA,Female#2551220,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,oucontent,,Male#104476,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Female#111717,X.Y.Z
CSBBB-2013B,2023 July 14 05:11,assessment,TMA,Female#556871,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,homepage,,Male#63400,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Male#255548,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,resource,,Male#705379,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Male#77367,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#516057,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,subpage,,Male#2146792,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,resource,,Female#2411661,X.Y.Z
CSBBB-2013B,2023 February 25 05:11,assessment,TMA,Female#535396,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,homepage,,Male#393207,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,resource,,Female#181316,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Female#1894188,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#442466,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Female#32885,X.Y.Z
CSBBB-2013B,2023 April 29 05:11,assessment,TMA,Female#443108,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Male#2278464,X.Y.Z
CSBBB-2013B,2023 April 04 05:11,assessment,TMA,Female#550549,X.Y.Z
CSAAA-2013J,2023 August 12 05:11,assessment,TMA,Male#508818,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Male#271251,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,url,,Female#62155,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,oucontent,,Female#335764,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Male#350795,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,oucontent,,Male#1105478,X.Y.Z
CSAAA-2013J,2023 August 12 05:11,assessment,TMA,Female#227499,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,forumng,,Male#321942,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,oucontent,,Male#2458355,X.Y.Z
CSAAA-2014J,2023 March 19 05:11,assessment,TMA,Male#95755,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,subpage,,Male#705379,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,homepage,,Male#398552,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#84664,X.Y.Z
CSBBB-2013B,2023 May 13 05:11,assessment,TMA,Female#550381,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,forumng,,Male#342514,X.Y.Z
CSAAA-2013J,2023 June 24 05:11,assessment,TMA,Female#183096,X.Y.Z
CSAAA-2014J,2023 March 04 05:11,assessment,TMA,Female#2654628,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,forumng,,Female#2084066,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#1938355,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#499067,X.Y.Z
CSBBB-2014J,2023 January 09 05:14,registration,,Female#680522,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Male#205350,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,homepage,,Male#1640609,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,forumng,,Female#306897,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#2649826,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,homepage,,Male#1765788,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,forumng,,Male#1626710,X.Y.Z
CSBBB-2013B,2023 June 14 05:11,assessment,TMA,Female#523012,X.Y.Z
CSBBB-2013B,2023 March 15 05:11,assessment,TMA,Female#497280,X.Y.Z
CSAAA-2013J,2023 January 31 05:11,assessment,TMA,Female#2498700,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,forumng,,Male#2412002,X.Y.Z
CSCCC-2014B,2023 January 09 05:18,registration,,Male#550812,X.Y.Z
CSAAA-2013J,2023 May 02 05:11,assessment,TMA,Female#489455,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Male#186149,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Female#541764,X.Y.Z
CSAAA-2014J,2023 January 27 05:11,assessment,TMA,Male#334441,X.Y.Z
CSBBB-2013B,2023 June 23 05:11,assessment,TMA,Female#1008675,X.Y.Z
CSAAA-2014J,2023 June 22 05:11,assessment,TMA,Female#2642935,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,subpage,,Male#760729,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#555414,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#241649,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,homepage,,Female#2358969,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Male#246834,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Male#705379,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,url,,Male#705379,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,forumng,,Male#321942,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,homepage,,Male#159954,X.Y.Z
CSBBB-2013B,2023 January 09 05:17,registration,,Female#545072,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,resource,,Male#442442,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,forumng,,Female#318933,X.Y.Z
CSBBB-2014J,2023 January 09 05:17,registration,,Female#680219,X.Y.Z
CSAAA-2014J,2023 January 09 05:17,registration,,Male#2045084,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#34756,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Male#500958,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Female#2685865,X.Y.Z
CSAAA-2014J,2023 March 06 05:11,assessment,TMA,Male#85302,X.Y.Z
CSBBB-2013B,2023 February 24 05:11,assessment,TMA,Female#548834,X.Y.Z
CSBBB-2013B,2023 June 12 05:11,assessment,TMA,Female#248103,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,homepage,,Male#94961,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,resource,,Female#2470694,X.Y.Z
CSAAA-2014J,2023 March 04 05:11,assessment,TMA,Male#46844,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,forumng,,Female#2551220,X.Y.Z
CSBBB-2013B,2023 March 04 05:11,assessment,TMA,Female#542543,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#473328,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,subpage,,Female#181316,X.Y.Z
CSBBB-2013J,2023 January 09 05:17,registration,,Female#367433,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#147756,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#533722,X.Y.Z
CSAAA-2013J,2023 January 26 05:11,assessment,TMA,Female#2437837,X.Y.Z
CSAAA-2014J,2023 January 27 05:11,assessment,TMA,Female#2297896,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,forumng,,Female#2643002,X.Y.Z
CSBBB-2013B,2023 February 24 05:11,assessment,TMA,Female#559458,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Male#388885,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,glossary,,Female#277880,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#958987,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,homepage,,Male#137873,X.Y.Z
CSAAA-2013J,2023 May 09 05:11,assessment,TMA,Female#2312620,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,homepage,,Female#262934,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Male#306466,X.Y.Z
CSBBB-2013B,2023 June 16 05:11,assessment,TMA,Female#535407,X.Y.Z
CSAAA-2014J,2023 June 22 05:11,assessment,TMA,Male#237274,X.Y.Z
CSBBB-2013B,2023 January 27 05:11,assessment,TMA,Female#126322,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,subpage,,Female#134143,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,homepage,,Female#62155,X.Y.Z
CSAAA-2014J,2023 January 26 05:11,assessment,TMA,Female#696073,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,subpage,,Male#2516503,X.Y.Z
CSBBB-2013B,2023 June 17 05:11,assessment,TMA,Female#548935,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#365488,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,resource,,Male#175392,X.Y.Z
CSBBB-2013B,2023 February 24 05:11,assessment,TMA,Female#1937864,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,forumng,,Male#392756,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#516841,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Male#185439,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,forumng,,Male#1938355,X.Y.Z
CSBBB-2013B,2023 May 13 05:11,assessment,TMA,Female#334291,X.Y.Z
CSBBB-2013J,2023 January 09 05:17,registration,,Female#2481657,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Male#760729,X.Y.Z
CSAAA-2013J,2023 March 04 05:11,assessment,TMA,Female#2566592,X.Y.Z
CSAAA-2013J,2023 February 08 05:11,assessment,TMA,Female#1472925,X.Y.Z
CSBBB-2013B,2023 February 23 05:11,assessment,TMA,Female#535155,X.Y.Z
CSBBB-2013B,2023 January 26 05:11,assessment,TMA,Female#312141,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#319047,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Female#134143,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,oucontent,,Male#580389,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,homepage,,Male#376439,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,forumng,,Male#2149225,X.Y.Z
CSBBB-2013B,2023 June 17 05:11,assessment,TMA,Female#506753,X.Y.Z
CSAAA-2013J,2023 March 04 05:11,assessment,TMA,Male#508818,X.Y.Z
CSBBB-2013B,2023 January 28 05:11,assessment,TMA,Female#556878,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Male#282821,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#477835,X.Y.Z
CSAAA-2013J,2023 June 24 05:11,assessment,TMA,Male#414117,X.Y.Z
CSBBB-2013B,2023 June 07 05:11,assessment,TMA,Female#479519,X.Y.Z
CSBBB-2013B,2023 May 13 05:11,assessment,TMA,Female#1847146,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#388722,X.Y.Z
CSAAA-2013J,2023 May 05 05:11,assessment,TMA,Female#2369266,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Female#181316,X.Y.Z
CSBBB-2013B,2023 May 16 05:11,assessment,TMA,Female#480650,X.Y.Z
CSBBB-2013B,2023 January 09 05:13,registration,,Female#556553,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#94961,X.Y.Z
CSAAA-2014J,2023 March 05 05:11,assessment,TMA,Female#155984,X.Y.Z
CSBBB-2013B,2023 April 18 05:11,assessment,TMA,Male#363401,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,resource,,Male#2559575,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,resource,,Female#318933,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Male#101781,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#2649826,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,forumng,,Female#949618,X.Y.Z
CSAAA-2014J,2023 August 12 05:11,assessment,TMA,Male#292775,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,resource,,Male#2666246,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,glossary,,Female#32885,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#517890,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,oucontent,,Male#354858,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,oucontent,,Male#1758449,X.Y.Z
CSBBB-2013B,2023 April 06 05:11,assessment,TMA,Female#528250,X.Y.Z
CSBBB-2013B,2023 January 21 05:11,assessment,TMA,Female#559458,X.Y.Z
CSBBB-2013B,2023 May 27 05:11,assessment,TMA,Female#540607,X.Y.Z
CSAAA-2013J,2023 January 02 05:11,oucontent,,Female#331358,X.Y.Z
CSAAA-2014J,2023 August 12 05:11,assessment,TMA,Female#133816,X.Y.Z
CSBBB-2013B,2023 April 19 05:11,assessment,TMA,Female#555935,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Male#2411778,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,oucontent,,Male#1970390,X.Y.Z
CSAAA-2014J,2023 February 03 05:11,assessment,TMA,Male#628088,X.Y.Z
CSAAA-2013J,2023 March 03 05:11,assessment,TMA,Female#132976,X.Y.Z
CSBBB-2013B,2023 January 09 05:17,registration,,Female#545240,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,subpage,,Male#255548,X.Y.Z
CSAAA-2013J,2023 January 07 05:11,homepage,,Male#100893,X.Y.Z
CSBBB-2014B,2023 January 09 05:17,registration,,Female#1829654,X.Y.Z
CSBBB-2013B,2023 April 10 05:11,assessment,TMA,Female#2470672,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,oucontent,,Female#365244,X.Y.Z
CSAAA-2014J,2023 January 28 05:11,assessment,TMA,Female#354170,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,forumng,,Female#1518989,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,oucontent,,Female#2358056,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,subpage,,Female#2437837,X.Y.Z
CSBBB-2013J,2023 January 09 05:13,registration,,Female#25629,X.Y.Z
CSAAA-2013J,2023 June 08 05:11,assessment,TMA,Male#342514,X.Y.Z
CSAAA-2013J,2023 July 03 05:11,assessment,TMA,Male#2460080,X.Y.Z
CSBBB-2013B,2023 January 09 05:13,registration,,Female#503390,X.Y.Z
CSBBB-2013B,2023 April 12 05:11,assessment,TMA,Female#2608453,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,resource,,Male#2479954,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,subpage,,Male#98094,X.Y.Z
CSAAA-2013J,2022 December 31 05:11,subpage,,Male#392756,X.Y.Z
CSAAA-2013J,2023 January 06 05:11,subpage,,Female#192183,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#2524127,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,oucontent,,Female#2376496,X.Y.Z
CSBBB-2013B,2023 January 26 05:11,assessment,TMA,Female#92832,X.Y.Z
CSBBB-2013B,2023 July 15 05:11,assessment,TMA,Female#547892,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,homepage,,Male#2671132,X.Y.Z
CSAAA-2013J,2023 January 03 05:11,forumng,,Female#62155,X.Y.Z
CSAAA-2013J,2023 January 04 05:11,forumng,,Female#2122180,X.Y.Z
CSBBB-2014J,2023 January 09 05:17,registration,,Female#650548,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,oucontent,,Female#318933,X.Y.Z
CSBBB-2013B,2023 May 04 05:11,assessment,TMA,Female#297484,X.Y.Z
CSBBB-2013B,2023 March 10 05:11,assessment,CMA,Female#432319,X.Y.Z
CSAAA-2013J,2022 December 30 05:11,oucontent,,Female#258894,X.Y.Z
CSAAA-2013J,2023 January 05 05:11,dataplus,,Female#2555340,X.Y.Z
CSBBB-2014J,2023 January 09 05:17,registration,,Female#651974,X.Y.Z
CSBBB-2013B,2023 May 06 05:11,assessment,TMA,Female#546428,X.Y.Z
CSAAA-2013J,2023 March 11 05:11,assessment,TMA,Male#159954,X.Y.Z
CSAAA-2013J,2023 January 01 05:11,resource,,Male#312537,X.Y.Z
